SAMPLE_ID	snpPC1	snpPC2	snpPC3	snpPC4	snpPC5	snpPC6	snpPC7	snpPC8	snpPC9	snpPC10
R4114_C0GWRACXX	0.0119557	-0.00245934	-0.000351339	-0.000505185	-0.000225494	-9.80258e-05	1.67028e-05	0.000382221	9.94489e-05	1.68444e-06
R3506_C2K2WACXX	-0.0101103	0.000912467	-0.00426643	0.00217667	0.00364346	0.00632345	-0.0030721	-0.000387393	0.00346042	-0.000671438
R4207_D1AAPACXX	-0.0100692	-0.00180863	-0.00351913	-0.0028946	-0.00560432	-0.00492646	0.00050599	-0.000600691	-0.00212362	0.0130432
R3482_D156YACXX	-0.0111393	0.000420629	-0.00140539	0.00962915	0.000900744	0.00271566	-0.00288321	-0.000315638	0.00049627	0.00304266
R3912_C101EACXX	-0.0124805	-0.00311677	0.00952937	0.00331132	-0.0057288	0.0048375	0.00596177	-0.00891169	-0.00294661	-0.00220968
R3029_D193PACXX	0.00842811	0.00915428	-0.000435796	-0.000200628	-0.000463832	-0.000310752	0.000311715	-0.000559131	-0.000256502	1.86027e-06
R2947_D193PACXX	-0.0118877	-0.000772757	-0.00391072	0.00487933	0.000984887	-0.00694577	-0.00395935	-0.00454009	0.00269459	-0.00331981
R3030_C0UH3ACXX	-0.0139128	0.00201309	0.00832994	0.00222495	-0.00195723	-0.000334744	0.00277813	-0.00551447	-0.00288171	-0.00576291
R2816_C0GTHACXX	-0.0109874	0.00154101	-0.00298063	-0.00828208	-0.00825116	-0.00506702	9.59735e-05	-0.00280318	-0.00169807	-0.00431327
R3997_D0AUAACXX	0.00821173	0.00929571	-6.35653e-05	0.000459491	-0.000667489	-0.000397576	-0.00041797	-0.000566084	0.00013134	0.000366703
R2824_C3V3YACXX	0.0040708	0.0105645	5.13237e-05	0.000303136	-0.000650034	-0.000325111	-0.00028487	-0.000418234	0.000238379	0.000166828
R3944_D0HMLACXX	-0.0108086	-0.000393004	0.00588421	-0.00294704	-0.00271581	0.000711019	0.00482335	-0.00652724	-0.00613152	0.00074405
R2840_C0JYLACXX	0.0121807	-0.00243383	-0.00045561	-0.000290982	9.03552e-05	-0.000131399	0.000395385	0.00043923	-0.000302116	0.000191829
R4200_D1AAPACXX	-0.010361	-0.000747265	0.00298902	0.00105224	0.00892338	-0.00108729	0.00307449	-0.0031501	-0.000936033	-0.00203459
R2827_C0JYLACXX	0.0104002	-0.000783151	5.4067e-05	-5.12765e-05	0.000485316	-9.05061e-05	1.90076e-05	0.000200651	0.000335228	0.000368454
R3977_C0VJYACXX	0.00134621	-0.00392265	0.00215251	-0.0015531	-0.00128061	-0.000849557	0.000836033	0.000570992	-0.00409739	-0.00173406
